"Downloaded on",01/02/2026,"20:55:03 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22congress%22%3A%5B%22119%22%5D%2C%22source%22%3A%22all%22%2C%22bill-status%22%3A%22law%22%7D

"Legislation Number",URL,Congress,Title,Sponsor,"Date of Introduction",Committees,"Latest Action","Latest Action Date","Number of Cosponsors","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amends Amendment"
"H.R. 517",https://www.congress.gov/bill/119th-congress/house-bill/517,"119th Congress (2025-2026)","Filing Relief for Natural Disasters Act","Kustoff, David [Rep.-R-TN-8]",01/16/2025,"House - Ways and Means | Senate - Finance","Became Public Law No: 119-29.",07/24/2025,1,,,,,
"H.R. 452",https://www.congress.gov/bill/119th-congress/house-bill/452,"119th Congress (2025-2026)","Miracle on Ice Congressional Gold Medal Act","Stauber, Pete [Rep.-R-MN-8]",01/15/2025,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs","Became Public Law No: 119-53.",12/12/2025,299,,,,,
"H.R. 410",https://www.congress.gov/bill/119th-congress/house-bill/410,"119th Congress (2025-2026)","Alaska Native Vietnam Era Veterans Land Allotment Extension Act of 2025","Begich, Nicholas [Rep.-R-AK-At Large]",01/15/2025,"House - Natural Resources | Senate - Energy and Natural Resources","Signed by President.",12/26/2025,0,,,,,
"H.R. 187",https://www.congress.gov/bill/119th-congress/house-bill/187,"119th Congress (2025-2026)","MAPWaters Act of 2025","Moore, Blake D. [Rep.-R-UT-1]",01/03/2025,"House - Natural Resources, Agriculture | Senate - Energy and Natural Resources","Signed by President.",12/26/2025,3,,,,,
"H.R. 165",https://www.congress.gov/bill/119th-congress/house-bill/165,"119th Congress (2025-2026)","Wounded Knee Massacre Memorial and Sacred Site Act","Johnson, Dusty [Rep.-R-SD-At Large]",01/03/2025,"House - Natural Resources | Senate - Indian Affairs","Became Public Law No: 119-61.",12/19/2025,0,,,,,
"H.R. 43",https://www.congress.gov/bill/119th-congress/house-bill/43,"119th Congress (2025-2026)","Alaska Native Village Municipal Lands Restoration Act of 2025","Begich, Nicholas [Rep.-R-AK-At Large]",01/03/2025,"House - Natural Resources","Became Public Law No: 119-23.",07/07/2025,0,,,,,
"H.R. 42",https://www.congress.gov/bill/119th-congress/house-bill/42,"119th Congress (2025-2026)","Alaska Native Settlement Trust Eligibility Act","Begich, Nicholas [Rep.-R-AK-At Large]",01/03/2025,"House - Natural Resources","Became Public Law No: 119-22.",07/07/2025,0,,,,,
"H.R. 4",https://www.congress.gov/bill/119th-congress/house-bill/4,"119th Congress (2025-2026)","Rescissions Act of 2025","Scalise, Steve [Rep.-R-LA-1]",06/06/2025,"House - Appropriations | Senate - Appropriations, Budget","Became Public Law No: 119-28.",07/24/2025,5,,,,,
"H.R. 1",https://www.congress.gov/bill/119th-congress/house-bill/1,"119th Congress (2025-2026)","An act to provide for reconciliation pursuant to title II of H. Con. Res. 14.","Arrington, Jodey C. [Rep.-R-TX-19]",05/20/2025,"House - Budget","Became Public Law No: 119-21.",07/04/2025,0,,,,,
"H.J.Res. 133",https://www.congress.gov/bill/119th-congress/house-joint-resolution/133,"119th Congress (2025-2026)","Requesting the Secretary of the Interior to authorize unique and one-time arrangements for displays on the National Mall and the Washington Monument during the period beginning on December 31, 2025, and ending on January 5, 2026.","Aderholt, Robert B. [Rep.-R-AL-4]",11/04/2025,"House - Natural Resources","Became Public Law No: 119-46.",12/02/2025,3,,,,,
